type	weight_original_TIF_NAC	M
T	2.9G	2969.6
T	2.1G	2150.4
T	694M	694
T	3.7G	3788.8
T	2.0G	2048
T	1.1G	1126.4
T	4.0G	4096
T	1.8G	1843.2
T	3.1G	3174.4
T	1.4G	1433.6
T	2.2G	2252.8
T	2.6G	2662.4
T	4.8G	4915.2
T	307M	307
T	3.5G	3584
T	1.3G	1331.2
T	5.1G	5222.4
T	2.7G	2764.8
T	3.3G	3379.2
T	2.6G	2662.4
T	3.7G	3788.8
T	3.7G	3788.8
T	3.3G	3379.2
T	3.5G	3584
T	1.8G	1843.2
T	3.8G	3891.2
T	2.5G	2560
T	3.0G	3072
T	1.5G	1536
T	1.1G	1126.4
T	2.8G	2867.2
T	2.6G	2662.4
T	3.3G	3379.2
T	1.7G	1740.8
T	1.1G	1126.4
T	2.4G	2457.6
T	1.5G	1536
T	3.4G	3481.6
T	2.6G	2662.4
T	4.0G	4096
T	3.4G	3481.6
T	4.0G	4096
T	2.4G	2457.6
T	4.3G	4403.2
T	2.4G	2457.6
T	1.1G	1126.4
T	2.8G	2867.2
T	2.2G	2252.8
T	3.6G	3686.4
T	978M	978
T	4.1G	4198.4
T	2.9G	2969.6
T	1.4G	1433.6
T	2.0G	2048
T	2.3G	2355.2
T	1.5G	1536
T	942M	942
T	902M	902
T	2.1G	2150.4
T	3.4G	3481.6
T	445M	445
T	614M	614
T	1.9G	1945.6
T	2.7G	2764.8
T	1.5G	1536
T	4.3G	4403.2
T	1.2G	1228.8
T	2.8G	2867.2
T	1.2G	1228.8
T	826M	826
T	1.1G	1126.4
T	622M	622
T	2.2G	2252.8
T	3.3G	3379.2
T	741M	741
T	2.7G	2764.8
T	3.5G	3584
T	2.9G	2969.6
T	1.1G	1126.4
T	2.7G	2764.8
T	1.4G	1433.6
T	2.4G	2457.6
T	1.8G	1843.2
T	2.9G	2969.6
T	3.0G	3072
T	2.3G	2355.2
T	1.6G	1638.4
T	4.5G	4608
T	4.2G	4300.8
T	2.7G	2764.8
T	5.3G	5427.2
T	886M	886
T	3.0G	3072
T	2.8G	2867.2
T	2.8G	2867.2
T	2.8G	2867.2
T	2.9G	2969.6
T	741M	741
T	2.9G	2969.6
T	3.1G	3174.4
T	842M	842
T	2.1G	2150.4
T	1.7G	1740.8
T	2.6G	2662.4
T	2.3G	2355.2
T	3.7G	3788.8
T	1.1G	1126.4
T	3.6G	3686.4
T	3.3G	3379.2
T	4.2G	4300.8
T	645M	645
T	1.6G	1638.4
T	2.5G	2560
T	745M	745
T	3.3G	3379.2
T	671M	671
T	2.4G	2457.6
T	2.5G	2560
T	1.7G	1740.8
T	272M	272
T	2.8G	2867.2
T	1.4G	1433.6
T	1.7G	1740.8
T	3.4G	3481.6
T	703M	703
T	287M	287
T	2.2G	2252.8
T	1.9G	1945.6
T	4.4G	4505.6
T	937M	937
T	1.8G	1843.2
T	599M	599
T	3.6G	3686.4
T	4.3G	4403.2
T	2.7G	2764.8
T	816M	816
T	1.2G	1228.8
T	1.6G	1638.4
T	2.7G	2764.8
T	1.6G	1638.4
T	1.3G	1331.2
T	855M	855
T	2.1G	2150.4
T	1.1G	1126.4
T	3.4G	3481.6
T	4.4G	4505.6
T	4.4G	4505.6
T	3.8G	3891.2
T	2.5G	2560
T	1.1G	1126.4
T	2.7G	2764.8
T	1.7G	1740.8
T	466M	466
T	925M	925
T	1.6G	1638.4
T	4.3G	4403.2
T	3.6G	3686.4
T	578M	578
T	2.0G	2048
T	349M	349
T	347M	347
